Monat,Tag,Typ,Strecke in km,Zeit,Krafttraining,F-Strecke,F-Zeit
5,29,,,,,20.75,68
5,30,L,8.45,47:23,,,
5,31,F,,,60,5,13:22
6,1,B,13.71,102,,18.85,70
6,2,,,,,10.9,19:49
6,3,,,,,9.6,33:06
6,4,F,3,17:09,55,,
6,5,,,,,9.6,35:50
6,6,F,,,60,7.5,20:09
6,7,F,3,18,69,,
6,8,B,14.78,91,,,
6,9,,,,,,
6,10,F,3,18,55,,
6,11,F,10,60,24,,
6,12,,,,,,
6,13,S,2.5,56:30,,,
6,14,F,,,60,7.5,19:23
6,15,B,18.22,110,,1.7,6
6,16,,,,,3.1,12
6,17,S,2.5,57,,20,70
6,18,F,3,18,60,,
6,19,,,,,20,65
6,20,S,2.75,62,,11.1,40
6,21,F,2,13,55,,
6,22,B,15.1,84,,,
6,23,,,,,10.6,36:30
6,24,S,2.75,62,,20,70
6,25,F,2,12:48,60,,
6,26,L,3.14,19:11,,,
6,27,S,2.75,64,,11,40
6,28,F,2,13:20,60,,
6,29,,,,,,
6,30,F,3,18,57,,
7,1,S,2.5,58,,,
7,2,F,10,60,30,,
7,3,,,,,19.56,72
7,4,F,3,18,60,,
7,5,F,3,18,60,,
7,6,,,,,,
7,7,F,,,60,7.5,20
7,8,S,2.5,58,,,
7,9,F,10,60,30,,
7,10,,,,,,
7,11,F,3,18,60,,
7,12,F,,,30,7.5,20
7,13,,,,,,
7,14,F,3,18,60,,
7,15,S,2.5,58,,,
7,16,F,3,18,60,,
7,17,,,,,,
7,18,F,,,50,7.5,20
7,19,F,,,60,7.5,20
7,20,F,,,60,7.5,20
7,21,B,13.5,90,,13,40
7,22,,,,,,
7,23,F,10,60,33,,
7,24,F,1,5:30,35,19,60
7,25,,,,,,
7,26,,,,,,
7,27,,,,,,
7,28,,,,,,
7,29,,,,,,
7,30,,,,,,
7,31,,,,,,
8,1,,,,,,
8,2,,,,,,
8,3,,,,,,
8,4,,,,,,
8,5,,,,,,
8,6,,,,,,
8,7,,,,,,
8,8,,,,,,
8,9,,,,,,
8,10,,,,,,
8,11,,,,,,
8,12,,,,,,
8,13,,,,,,
8,14,,,,,,
8,15,,,,,,
8,16,,,,,,
8,17,,,,,,
8,18,,,,,,
8,19,,,,,,
8,20,,,,,,
8,21,,,,,,
8,22,,,,,,
8,23,,,,,,
8,24,,,,,,
8,25,,,,,,
8,26,,,,,,
8,27,,,,,,
8,28,,,,,,
8,29,,,,,,
8,30,,,,,,
8,31,,,,,,
9,1,,,,,,
9,2,,,,,,
9,3,,,,,,
9,4,,,,,,
9,5,,,,,,
9,6,,,,,,
9,7,,,,,,
9,8,,,,,,
9,9,,,,,,
9,10,,,,,,
9,11,,,,,,
9,12,,,,,,
9,13,,,,,,
9,14,,,,,,
9,15,,,,,,
9,16,,,,,,
9,17,,,,,,
9,18,,,,,,
9,19,,,,,,
9,20,,,,,,
9,21,,,,,,
9,22,,,,,,
9,23,,,,,,
9,24,,,,,,
9,25,,,,,,
9,26,,,,,,
9,27,,,,,,
9,28,,,,,,
9,29,,,,,,
9,30,,,,,,
10,1,,,,,,
10,2,,,,,,
10,3,,,,,,
10,4,,,,,,
10,5,,,,,,
10,6,,,,,,
10,7,,,,,,
10,8,,,,,,
10,9,,,,,,
10,10,,,,,,
10,11,,,,,,
10,12,,,,,,
10,13,,,,,,
10,14,,,,,,
10,15,,,,,,
10,16,,,,,,
10,17,,,,,,
10,18,,,,,,
10,19,,,,,,
10,20,,,,,,
10,21,,,,,,
10,22,,,,,,
10,23,,,,,,
10,24,,,,,,
10,25,,,,,,
10,26,,,,,,
10,27,,,,,,
10,28,,,,,,
10,29,,,,,,
10,30,,,,,,
10,31,,,,,,
11,1,,,,,,
11,2,,,,,,
11,3,,,,,,
11,4,,,,,,
11,5,,,,,,
11,6,,,,,,
11,7,,,,,,
11,8,,,,,,
11,9,,,,,,
11,10,,,,,,
11,11,,,,,,
11,12,,,,,,
11,13,,,,,,
11,14,,,,,,
11,15,,,,,,
11,16,,,,,,
11,17,,,,,,
11,18,,,,,,
11,19,,,,,,
11,20,,,,,,
11,21,,,,,,
11,22,,,,,,
11,23,,,,,,
11,24,,,,,,
11,25,,,,,,
11,26,,,,,,
11,27,,,,,,
11,28,,,,,,
11,29,,,,,,
11,30,,,,,,
12,1,,,,,,
12,2,,,,,,
12,3,,,,,,
12,4,,,,,,
12,5,,,,,,
12,6,,,,,,
12,7,,,,,,
12,8,,,,,,
12,9,,,,,,
12,10,,,,,,
12,11,,,,,,
12,12,,,,,,
12,13,,,,,,
12,14,,,,,,
12,15,,,,,,
12,16,,,,,,
12,17,,,,,,
12,18,,,,,,
12,19,,,,,,
12,20,,,,,,
12,21,,,,,,
12,22,,,,,,
12,23,,,,,,
12,24,,,,,,
12,25,,,,,,
12,26,,,,,,
12,27,,,,,,
12,28,,,,,,
12,29,,,,,,
12,30,,,,,,
12,31,,,,,,
